file,class,code,start_pos,end_pos,duration_s,ttf_start_h,ttf_end_h
E02_12,E02,E003,40199,40199,1,157.00027777777777,157.00027777777777
E02_12,E02,E003,40768,40870,103,156.84222222222223,156.8138888888889
E02_12,E02,E003,41641,41699,59,156.59972222222223,156.5836111111111
E02_12,E02,E003,42024,42058,35,156.49333333333334,156.48388888888888
E02_12,E02,E003,42065,42245,181,156.48194444444445,156.43194444444444
E02_12,E02,E003,42271,42276,6,156.42472222222221,156.42333333333335
E02_12,E02,E003,42279,42281,3,156.4225,156.42194444444445
E02_12,E02,E003,42286,42287,2,156.42055555555555,156.42027777777778
E02_12,E02,E003,42289,42292,4,156.41972222222222,156.4188888888889
E02_12,E02,E003,42295,42307,13,156.41805555555555,156.41472222222222
E02_12,E02,E003,42309,42370,62,156.41416666666666,156.3972222222222
E02_12,E02,E003,42375,42468,94,156.39583333333334,156.37
E02_12,E02,E003,42470,42492,23,156.36944444444444,156.36333333333334
E02_12,E02,E003,42601,42601,1,156.33305555555555,156.33305555555555
E02_12,E02,E003,42687,42688,2,156.30916666666667,156.3088888888889
E02_12,E02,E003,42704,42781,78,156.30444444444444,156.28305555555556
E02_12,E02,E003,42886,42886,1,156.2538888888889,156.2538888888889
E02_12,E02,E003,43362,43375,14,156.12166666666667,156.11805555555554
E02_12,E02,E003,43524,43524,1,156.07666666666665,156.07666666666665
E02_12,E02,E003,43577,43650,74,156.06194444444444,156.04166666666666
E02_12,E02,E003,43652,43659,8,156.04111111111112,156.03916666666666
E02_12,E02,E003,43728,43729,2,156.02,156.0197222222222
E02_12,E02,E003,43742,43744,3,156.01611111111112,156.01555555555555
E02_12,E02,E003,43757,43818,62,156.01194444444445,155.995
E02_12,E02,E003,43839,43842,4,155.98916666666668,155.98833333333334
E02_12,E02,E003,43924,43925,2,155.96555555555557,155.96527777777777
E02_12,E02,E003,43958,43960,3,155.9561111111111,155.95555555555555
E02_12,E02,E003,43964,43993,30,155.95444444444445,155.9463888888889
E02_12,E02,E003,44207,44606,400,155.88694444444445,155.7761111111111
E02_12,E02,E003,44774,44932,159,155.72944444444445,155.68555555555557
E02_12,E02,E003,44935,45085,151,155.68472222222223,155.64305555555555
E02_12,E02,E003,45539,45760,222,155.51694444444445,155.45555555555555
E02_12,E02,E003,46808,46808,1,155.16444444444446,155.16444444444446
E02_12,E02,E003,46960,47540,581,155.12222222222223,154.9611111111111
E02_12,E02,E003,48347,49240,894,154.73694444444445,154.48888888888888
E02_12,E02,E003,49671,49686,16,154.36916666666667,154.365
